Name,BundleID,ImageSrc,ImageFile
Photo Booth,com.apple.Photo-Booth,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/4c542052a9746167421125c71fc58328.png","images/com_apple_photo-booth.png"
Playground,com.apple.GenerativePlaygroundApp,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/5ed14a83f485d25c5c77340192dcd8f0.png","images/com_apple_generativeplaygroundapp.png"
Podcasts,com.apple.podcasts,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/4914435d08e26901613dd885d33e874a.png","images/com_apple_podcasts.png"
Recordatorios,com.apple.reminders,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/9fbbd0b8090dadb79bc3e8303ecc0e47.png","images/com_apple_reminders.png"
Reloj,com.apple.mobiletimer,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/cf7887851fe5a3de6c26e36bcfa1288a.png","images/com_apple_mobiletimer.png"
Safari,com.apple.mobilesafari,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/4236b540374dd23e0ba9e00d84f328ac.png","images/com_apple_mobilesafari.png"
Salud,com.apple.Health,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/65718d0717bdb4b6e4c9c3f3e62df0a8.png","images/com_apple_health.png"
Swift Playgrounds,com.apple.Playgrounds,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/7c2614bc7187301108596bcfa1bf1b89.png","images/com_apple_playgrounds.png"
Teléfono,com.apple.mobilephone,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/4d33e010b45a62316127fae0e1dc7d58.png","images/com_apple_mobilephone.png"
Tiempo,com.apple.weather,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/c48a1bb92c915a0bb187ab3d87144263.png","images/com_apple_weather.png"
Traducir,com.apple.Translate,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/74aa668910bcfb88d7e8aa3f80a1f6f3.png","images/com_apple_translate.png"
TV,com.apple.tv,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/25f38412b910d9c8e9aa0b501e4ba5ab.png","images/com_apple_tv.png"
Vista Previa,com.apple.Preview,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/6da7b79db099bc30de617e577dd5dffb.png","images/com_apple_preview.png"
