Name,BundleID,ImageSrc,ImageFile
Magnifier,com.apple.Magnifier,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/en_US/6c2e0c6768f9348e652b29c821e9c7a7.png","images/com_apple_magnifier.png"
Mail,com.apple.mobilemail,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/en_US/0681f83644561a952a68671dabeaaf0a.png","images/com_apple_mobilemail.png"
Maps,com.apple.Maps,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/en_US/4b6688e61702fb24a58390662791ed71.png","images/com_apple_maps.png"
Measure,com.apple.measure,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/en_US/57cc1c3a10ef36f79edc6f0c2e340f96.png","images/com_apple_measure.png"
Messages,com.apple.MobileSMS,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/en_US/a4faeae46cd6efcfd95ec07fd493dc61.png","images/com_apple_mobilesms.png"
Music,com.apple.Music,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/en_US/a7fef635e58c9598401c8752e148c818.png","images/com_apple_music.png"
News,com.apple.news,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/en_US/b4655ffc33a363351cf022675f727b42.png","images/com_apple_news.png"
Notes,com.apple.mobilenotes,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/en_US/0023b78fd2538767108dda657985d7d7.png","images/com_apple_mobilenotes.png"
Numbers,com.apple.Numbers,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/en_US/3156cd57bc854ec55158024a44569849.png","images/com_apple_numbers.png"
Pages,com.apple.Pages,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/en_US/86225a29f6b8b34f25ee43e8adf8e3d2.png","images/com_apple_pages.png"
Passwords,com.apple.Passwords,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/en_US/55ca219f0b08e951bc9ce37e5294a5bf.png","images/com_apple_passwords.png"
Phone,com.apple.mobilephone,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/en_US/4d33e010b45a62316127fae0e1dc7d58.png","images/com_apple_mobilephone.png"
Photo Booth,com.apple.Photo-Booth,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/en_US/4c542052a9746167421125c71fc58328.png","images/com_apple_photo-booth.png"
Photos,com.apple.mobileslideshow,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/en_US/634eb7f2c34770bf0e66021b07c740ae.png","images/com_apple_mobileslideshow.png"
