Name,BundleID,Icon
ホーム,com.apple.Home,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/01ef17ed118fde0508f256c8c7de5468.png"
ポッドキャスト,com.apple.podcasts,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/aa0d7270566902790647a2d674334fbb.png"
マップ,com.apple.Maps,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/21e8c59cd2f31008048b15875a0abc56.png"
ミュージック,com.apple.Music,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/a694b0a32b8247797c9e95952f4e5df1.png"
メール,com.apple.mobilemail,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/aa62abf5cc9d0835a2c78f52d57361d1.png"
メッセージ,com.apple.MobileSMS,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/badc9485650ffe05e65b87247c1104e7.png"
メモ,com.apple.mobilenotes,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/c0b2e5615a23beca598e9a389f2a8299.png"
リマインダー,com.apple.reminders,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/b00f84807218a0d62cb0929f521c2516.png"
拡大鏡,com.apple.Magnifier,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/3f46f04e5802f10fc0b0e8ec05a7a84a.png"
株価,com.apple.stocks,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/903deff89ddd59acfbd8c6caab55a1bb.png"
計算機,com.apple.calculator,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/7c97cffba40e56cf9e2ccde17c2fbc3a.png"
計測,com.apple.measure,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/63fa68e20397e9b04963deaaceed64fe.png"
時計,com.apple.mobiletimer,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/b14f3d8973d3ca1bfa9d5ea4027f63bb.png"
写真,com.apple.mobileslideshow,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/98c461003313f2eba5a8e22b1c0645b3.png"
設定,com.apple.Preferences,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/d30a5c899b4d74d638b75344df55241f.png"
探す,com.apple.findmy,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/517f23fce6cb0ce5aa8c36bfa5cf5ce3.png"
天気,com.apple.weather,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/6d6a684739e9f5f4e6fa917443006680.png"
電話,com.apple.mobilephone,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/4b79edee58737b87ad81195e6f3dd4da.png"
翻訳,com.apple.Translate,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/4b5d59237c84dd7436631525e8a6a3e4.png"
連絡先,com.apple.MobileAddressBook,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/ed7c13771c0469d2ac8c43e15290f96e.png"
